Date,Product_ID,Store_ID,Promotion_Flag, Discount_percent ,Price,Sold_Units,Sales_Volume
2017-01-01,P1_,S7_,,,75,0,0
2017-01-02,P1_,S7_,,,75,0,0
2017-01-03,P1_,S7_,,,75,0,0
2017-01-04,P1_,S7_,,,75,0,0
2017-01-05,P1_,S7_,,,75,0,0
2017-01-06,P1_,S7_,,,75,0,0
2017-01-07,P1_,S7_,,,75,0,0
2017-01-08,P1_,S7_,,,75,0,0
2017-01-09,P1_,S7_,,,75,0,0
2017-01-10,P1_,S7_,,,75,0,0
2017-01-11,P1_,S7_,,,75,0,0
2017-01-12,P1_,S7_,,,75,0,0
2017-01-13,P1_,S7_,,,75,0,0
2017-01-14,P1_,S7_,,,75,0,0
2017-01-15,P1_,S7_,,,75,0,0
2017-01-16,P1_,S7_,,,75,0,0
2017-01-17,P1_,S7_,,,75,0,0
2017-01-18,P1_,S7_,,,75,0,0
2017-01-19,P1_,S7_,,,75,0,0
2017-01-20,P1_,S7_,,,75,0,0
2017-01-21,P1_,S7_,,,75,0,0
2017-01-22,P1_,S7_,,,75,0,0
2017-01-23,P1_,S7_,,,75,0,0
2017-01-24,P1_,S7_,,,75,0,0
2017-01-25,P1_,S7_,,,75,0,0
2017-01-26,P1_,S7_,,,75,0,0
2017-01-27,P1_,S7_,,,75,0,0
2017-01-28,P1_,S7_,,,75,0,0
2017-01-29,P1_,S7_,,,75,0,0
2017-01-30,P1_,S7_,,,75,0,0
2017-01-31,P1_,S7_,,,75,0,0
2017-02-01,P1_,S7_,,,75,0,0
2017-02-02,P1_,S7_,,,75,0,0
2017-02-03,P1_,S7_,,,75,0,0
2017-02-04,P1_,S7_,,,75,0,0
2017-02-05,P1_,S7_,,,75,0,0
2017-02-06,P1_,S7_,,,75,0,0
2017-02-07,P1_,S7_,,,75,0,0
2017-02-08,P1_,S7_,,,75,1,75
2017-02-09,P1_,S7_,,,75,0,0
2017-02-10,P1_,S7_,,,75,1,75
2017-02-11,P1_,S7_,,,75,0,0
2017-02-12,P1_,S7_,,,75,0,0
2017-02-13,P1_,S7_,,,75,0,0
2017-02-14,P1_,S7_,,,75,2,150
2017-02-15,P1_,S7_,,,75,1,75
2017-02-16,P1_,S7_,,,75,1,75
2017-02-17,P1_,S7_,,,75,0,0
2017-02-18,P1_,S7_,,,75,0,0
2017-02-19,P1_,S7_,,,75,0,0
2017-02-20,P1_,S7_,,,75,0,0
2017-02-21,P1_,S7_,,,75,2,150
2017-02-22,P1_,S7_,,,75,0,0
2017-02-23,P1_,S7_,,,75,1,75
2017-02-24,P1_,S7_,,,75,3,225
2017-02-25,P1_,S7_,,,75,1,75
2017-02-26,P1_,S7_,,,75,1,75
2017-02-27,P1_,S7_,,,75,1,75
2017-02-28,P1_,S7_,,,75,1,75
2017-03-01,P1_,S7_,1, 0.40 ,75,6,270
2017-03-02,P1_,S7_,,,75,5,375
2017-03-03,P1_,S7_,,,75,2,150
2017-03-04,P1_,S7_,,,75,4,300
2017-03-05,P1_,S7_,,,75,1,75
2017-03-06,P1_,S7_,,,75,4,300
2017-03-07,P1_,S7_,,,75,2,150
2017-03-08,P1_,S7_,,,75,4,300
2017-03-09,P1_,S7_,,,75,8,600
2017-03-10,P1_,S7_,,,75,6,450
2017-03-11,P1_,S7_,,,75,7,525
2017-03-12,P1_,S7_,,,75,5,375
2017-03-13,P1_,S7_,,,75,6,450
2017-03-14,P1_,S7_,,,75,5,375
2017-03-15,P1_,S7_,,,75,9,675
2017-03-16,P1_,S7_,,,75,18,1350
2017-03-17,P1_,S7_,,,75,8,600
2017-03-18,P1_,S7_,,,75,12,900
2017-03-19,P1_,S7_,,,75,13,975
2017-03-20,P1_,S7_,,,75,4,300
2017-03-21,P1_,S7_,,,75,15,1125
2017-03-22,P1_,S7_,,,75,13,975
2017-03-23,P1_,S7_,,,75,20,1500
2017-03-24,P1_,S7_,,,75,15,1125
2017-03-25,P1_,S7_,,,75,22,1650
2017-03-26,P1_,S7_,,,75,16,1200
2017-03-27,P1_,S7_,,,75,18,1350
2017-03-28,P1_,S7_,,,75,23,1725
2017-03-29,P1_,S7_,,,75,32,2400
2017-03-30,P1_,S7_,,,75,27,2025
2017-03-31,P1_,S7_,,,75,22,1650
2017-04-01,P1_,S7_,,,75,29,2175
2017-04-02,P1_,S7_,,,75,35,2625
2017-04-03,P1_,S7_,,,75,34,2550
2017-04-04,P1_,S7_,,,75,42,3150
2017-04-05,P1_,S7_,,,75,31,2325
2017-04-06,P1_,S7_,,,75,41,3075
2017-04-07,P1_,S7_,,,75,42,3150
2017-04-08,P1_,S7_,,,75,47,3525
2017-04-09,P1_,S7_,,,75,49,3675
2017-04-10,P1_,S7_,,,75,61,4575
2017-04-11,P1_,S7_,,,75,51,3825
2017-04-12,P1_,S7_,,,75,55,4125
2017-04-13,P1_,S7_,,,75,76,5700
2017-04-14,P1_,S7_,,,75,62,4650
2017-04-15,P1_,S7_,,,75,64,4800
2017-04-16,P1_,S7_,,,75,88,6600
2017-04-17,P1_,S7_,,,75,77,5775
2017-04-18,P1_,S7_,,,75,83,6225
2017-04-19,P1_,S7_,,,75,65,4875
2017-04-20,P1_,S7_,,,75,81,6075
2017-04-21,P1_,S7_,,,75,73,5475
2017-04-22,P1_,S7_,,,75,96,7200
2017-04-23,P1_,S7_,,,75,105,7875
2017-04-24,P1_,S7_,,,75,95,7125
2017-04-25,P1_,S7_,,,75,89,6675
2017-04-26,P1_,S7_,,,75,96,7200
2017-04-27,P1_,S7_,,,75,108,8100
2017-04-28,P1_,S7_,,,75,122,9150
2017-04-29,P1_,S7_,,,75,117,8775
2017-04-30,P1_,S7_,,,75,133,9975
2017-05-01,P1_,S7_,,,75,139,10425
2017-05-02,P1_,S7_,,,75,147,11025
2017-05-03,P1_,S7_,,,75,148,11100
2017-05-04,P1_,S7_,,,75,137,10275
2017-05-05,P1_,S7_,,,75,131,9825
2017-05-06,P1_,S7_,,,75,157,11775
2017-05-07,P1_,S7_,,,75,162,12150
2017-05-08,P1_,S7_,,,75,150,11250
2017-05-09,P1_,S7_,,,75,165,12375
2017-05-10,P1_,S7_,,,75,174,13050
2017-05-11,P1_,S7_,,,75,171,12825
2017-05-12,P1_,S7_,,,75,186,13950
2017-05-13,P1_,S7_,,,75,190,14250
2017-05-14,P1_,S7_,,,75,176,13200
2017-05-15,P1_,S7_,,,75,157,11775
2017-05-16,P1_,S7_,,,75,180,13500
2017-05-17,P1_,S7_,,,75,210,15750
2017-05-18,P1_,S7_,,,75,165,12375
2017-05-19,P1_,S7_,,,75,187,14025
2017-05-20,P1_,S7_,,,75,181,13575
2017-05-21,P1_,S7_,,,75,205,15375
2017-05-22,P1_,S7_,,,75,229,17175
2017-05-23,P1_,S7_,,,75,189,14175
2017-05-24,P1_,S7_,,,75,199,14925
2017-05-25,P1_,S7_,,,75,228,17100
2017-05-26,P1_,S7_,,,75,203,15225
2017-05-27,P1_,S7_,,,75,233,17475
2017-05-28,P1_,S7_,,,75,204,15300
2017-05-29,P1_,S7_,,,75,216,16200
2017-05-30,P1_,S7_,,,75,207,15525
2017-05-31,P1_,S7_,,,75,209,15675
2017-06-01,P1_,S7_,,,75,220,16500
2017-06-02,P1_,S7_,,,75,192,14400
2017-06-03,P1_,S7_,,,75,226,16950
2017-06-04,P1_,S7_,,,75,229,17175
2017-06-05,P1_,S7_,,,75,219,16425
2017-06-06,P1_,S7_,,,75,187,14025
2017-06-07,P1_,S7_,,,75,214,16050
2017-06-08,P1_,S7_,,,75,216,16200
2017-06-09,P1_,S7_,,,75,220,16500
2017-06-10,P1_,S7_,,,75,212,15900
2017-06-11,P1_,S7_,,,75,225,16875
2017-06-12,P1_,S7_,,,75,224,16800
2017-06-13,P1_,S7_,,,75,196,14700
2017-06-14,P1_,S7_,,,75,194,14550
2017-06-15,P1_,S7_,,,75,200,15000
2017-06-16,P1_,S7_,,,75,196,14700
2017-06-17,P1_,S7_,,,75,184,13800
2017-06-18,P1_,S7_,,,75,170,12750
2017-06-19,P1_,S7_,,,75,167,12525
2017-06-20,P1_,S7_,,,75,186,13950
2017-06-21,P1_,S7_,,,75,172,12900
2017-06-22,P1_,S7_,,,75,176,13200
2017-06-23,P1_,S7_,,,75,145,10875
2017-06-24,P1_,S7_,,,75,160,12000
2017-06-25,P1_,S7_,,,75,154,11550
2017-06-26,P1_,S7_,,,75,162,12150
2017-06-27,P1_,S7_,,,75,144,10800
2017-06-28,P1_,S7_,,,75,146,10950
2017-06-29,P1_,S7_,,,75,156,11700
2017-06-30,P1_,S7_,,,75,132,9900
2017-07-01,P1_,S7_,,,75,126,9450
2017-07-02,P1_,S7_,,,75,137,10275
2017-07-03,P1_,S7_,,,75,123,9225
2017-07-04,P1_,S7_,,,75,113,8475
2017-07-05,P1_,S7_,,,75,115,8625
2017-07-06,P1_,S7_,,,75,114,8550
2017-07-07,P1_,S7_,,,75,116,8700
2017-07-08,P1_,S7_,,,75,94,7050
2017-07-09,P1_,S7_,,,75,80,6000
2017-07-10,P1_,S7_,,,75,83,6225
2017-07-11,P1_,S7_,,,75,85,6375
2017-07-12,P1_,S7_,,,75,93,6975
2017-07-13,P1_,S7_,,,75,83,6225
2017-07-14,P1_,S7_,,,75,66,4950
2017-07-15,P1_,S7_,1, 0.30 ,75,108,5670
2017-07-16,P1_,S7_,1, 0.30 ,75,73,3832.5
2017-07-17,P1_,S7_,1, 0.30 ,75,73,3832.5
2017-07-18,P1_,S7_,1, 0.30 ,75,75,3937.5
2017-07-19,P1_,S7_,1, 0.30 ,75,71,3727.5
2017-07-20,P1_,S7_,1, 0.30 ,75,92,4830
2017-07-21,P1_,S7_,1, 0.60 ,75,107,3210
2017-07-22,P1_,S7_,1, 0.60 ,75,76,2280
2017-07-23,P1_,S7_,1, 0.60 ,75,86,2580
2017-07-24,P1_,S7_,1, 0.60 ,75,74,2220
2017-07-25,P1_,S7_,1, 0.60 ,75,76,2280
2017-07-26,P1_,S7_,1, 0.60 ,75,78,2340
2017-07-27,P1_,S7_,1, 0.60 ,75,66,1980
2017-07-28,P1_,S7_,1, 0.60 ,75,71,2130
2017-07-29,P1_,S7_,1, 0.60 ,75,49,1470
2017-07-30,P1_,S7_,1, 0.60 ,75,47,1410
2017-07-31,P1_,S7_,1, 0.60 ,75,40,1200
2017-08-01,P1_,S7_,,,75,25,1875
2017-08-02,P1_,S7_,,,75,22,1650
2017-08-03,P1_,S7_,,,75,18,1350
2017-08-04,P1_,S7_,,,75,19,1425
2017-08-05,P1_,S7_,,,75,15,1125
2017-08-06,P1_,S7_,,,75,16,1200
2017-08-07,P1_,S7_,,,75,14,1050
2017-08-08,P1_,S7_,,,75,11,825
2017-08-09,P1_,S7_,,,75,19,1425
2017-08-10,P1_,S7_,,,75,19,1425
2017-08-11,P1_,S7_,,,75,13,975
2017-08-12,P1_,S7_,,,75,8,600
2017-08-13,P1_,S7_,,,75,9,675
